client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
000abb3006b78ea4c1144e55d9d158f05a9db0110160510fef2b006f2c2c8e35f7bb538b04542511834b61503cdda5b0331566a5cf59dc0d375a44afc4d10777	common_voice_en_27710027.mp3	b2cf0b3308b6e00b46f3e48fe59682452ae737a596aa29d55fa4f221828542f9	Joe Keaton disapproved of films, and Buster also had reservations about the medium.		3	1					en	
0013037a1d45cc33460806cc3f8ecee9d536c45639ba4cbbf1564f1c051f53ff3c9f89ef2f1bf04badf55b3a2e7654c086f903681a7b6299616cff6f67598eff	common_voice_en_699711.mp3	de9d68400821d73ee6868687d0562c60282ee9446d11913c9afb65070cfe8053	She'll be all right.		2	1					en	
0014c5a3e5715a54855257779b89c2bb498d470b225866d2c29bc37c84f2c57a8d40d63ca836eedfef9b0a348f66914f3ed86b767482fdc5e8bde97f03da4b8c	common_voice_en_21953345.mp3	14c0567a0a6c4ea49f2a1b2ac73de940b8c07779c70bf0f050d2aa305f3b801d	six		3	2					en	Benchmark
001519f234e04528a2b36158c205dbe61c8da45ab0242f8800d6c4c2e9ac6ca76c9e5af86a313ab309f426c44204dfa7d2bb14b37ed565af9c1c6c86943675f9	common_voice_en_27340672.mp3	a975540ad0c7ceaaec94cd17ae3b55e1eaf89a61d4a57937a81d96aa74405c15	It is a busy market town that serves a large surrounding area.		2	0					en	
0024b2b74787fbd7707034d73bca7a79c79f01863de85d652c246bf84a748f8d97a0892e8cb255ac8370341f12642e2c9c057ba16689c6b15d96590763d550e6	common_voice_en_39751578.mp3	e5ec7db32d366d3b2eaae3234fd412a366d15da4f72ed9ea674832c71f84472b	For a discussion, see mass in general relativity.		2	0					en	
0027154ece687e705005bc795d42782af40f45d76e9b1c11d299ea4ff51f65825dff4fae2d3c8b317e26e6602893332c5f09d34ac1d5c5141a8ee120955df51e	common_voice_en_39588614.mp3	e3c86c18fd4f36aa3376363fb1e6921b3ec86776c311701b239246e07e5ef385	The Cadets attack the office and the rebellion is ended.		2	0			United States English		en	
00347685c719db69fbee0a75ce80844efbd5e5036c37b3c6bf19fee5dc2ae87f635d06ff54ed326ed233b4e710f29e69b76c424b75720c9cc5f3aadf5b9629f3	common_voice_en_18188256.mp3	b25fb5997f7e1fb3d931342a8de571cd4f165a50a472a1fbc9ccca82e047fb5a	We are going to the football game tonight.		2	0	fifties	male_masculine	United States English		en	
003fb666a99eb3aa3ba05d9c8641c18e55cf7d34d1b981552924235d083d8c62d0ec5d62836e7d17d9c2bad6b49e5bd373ffaf87a3d7888a26a53c787b28dbf8	common_voice_en_17263741.mp3	cd30813331d04c0c3535719f2a6212cf	Do you mean it?		2	0					en	
0047f1aea3f39c4c6a9298d84f046c1f84f439f594d8404c47dafdce01374fbbc5aef942f5829236b5ffad3ec5d04632c533b02d8d12cf9cacc9c12fbfef1663	common_voice_en_17561821.mp3	affbf329ec70d5261578ec7e63e30e350d28158d4807e6f5536720aca946de07	How is Mozilla going to handle ambiguities like queue and cue?		2	0					en	
006015274fb2a0e44ffd95b6624a52ebf90b65f3e9beacd08f30f03a2dfb7f04b5007740d80dcfcb7ee2916cf8836311fa9bdc5ab0636ffc36ad14407d75e51b	common_voice_en_18365693.mp3	c929dc25a6b70e6cce4568e8d52014c0d3a63e574f6de4cace57041c1b2d5363	You are so rude!		2	1	thirties	male_masculine	England English		en	
